,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-28 04:00:53.054651
11,"""BTC"" ",0.00703552,"""dYdX BTC ",2022-05-28 04:00:53.054651
13,"""BTC"" ",0.004,"""FTX BTC ",2022-05-28 04:00:53.054651
15,"""BTC"" ",-0.0152,"""BitMEX BTC ",2022-05-28 04:00:53.054651
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-28 04:00:53.054651
20,"""ETH"" ",0.01404656,"""dYdX ETH ",2022-05-28 04:00:53.054651
22,"""ETH"" ",0.0056,"""FTX ETH ",2022-05-28 04:00:53.054651
24,"""ETH"" ",0.0613,"""BitMEX ETH ",2022-05-28 04:00:53.054651
27,"""XRP"" ",-0.007277,"""Binance XRP ",2022-05-28 04:00:53.054651
30,"""XRP"" ",-0.0216,"""FTX XRP ",2022-05-28 04:00:53.054651
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-28 04:00:53.054651
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-28 04:00:53.054651
37,"""BCH"" ",0.0084232,"""dYdX BCH ",2022-05-28 04:00:53.054651
39,"""BCH"" ",0.0016,"""FTX BCH ",2022-05-28 04:00:53.054651
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-28 04:00:53.054651
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-28 04:00:53.054651
46,"""COMP"" ",0.0088068,"""dYdX COMP ",2022-05-28 04:00:53.054651
48,"""COMP"" ",-0.0176,"""FTX COMP ",2022-05-28 04:00:53.054651
52,"""KNC"" ",-0.026651,"""Binance KNC ",2022-05-28 04:00:53.054651
55,"""KNC"" ",-0.0224,"""FTX KNC ",2022-05-28 04:00:53.054651
59,"""LINK"" ",0.004129,"""Binance LINK ",2022-05-28 04:00:53.054651
61,"""LINK"" ",0.00652136,"""dYdX LINK ",2022-05-28 04:00:53.054651
63,"""LINK"" ",-0.0176,"""FTX LINK ",2022-05-28 04:00:53.054651
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-28 04:00:53.054651
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-28 04:00:53.054651
70,"""XTZ"" ",0.0096248,"""dYdX XTZ ",2022-05-28 04:00:53.054651
72,"""XTZ"" ",-0.0112,"""FTX XTZ ",2022-05-28 04:00:53.054651
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-28 04:00:53.054651
79,"""BNB"" ",-0.0216,"""FTX BNB ",2022-05-28 04:00:53.054651
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-28 04:00:53.054651
84,"""LTC"" ",-0.001573,"""Binance LTC ",2022-05-28 04:00:53.054651
86,"""LTC"" ",0.00790104,"""dYdX LTC ",2022-05-28 04:00:53.054651
88,"""LTC"" ",-0.0176,"""FTX LTC ",2022-05-28 04:00:53.054651
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-28 04:00:53.054651
93,"""ETC"" ",-0.005308,"""Binance ETC ",2022-05-28 04:00:53.054651
95,"""ETC"" ",0.00990024,"""dYdX ETC ",2022-05-28 04:00:53.054651
97,"""ETC"" ",-0.0144,"""FTX ETC ",2022-05-28 04:00:53.054651
101,"""EOS"" ",-0.007818,"""Binance EOS ",2022-05-28 04:00:53.054651
103,"""EOS"" ",0.00518608,"""dYdX EOS ",2022-05-28 04:00:53.054651
105,"""EOS"" ",-0.0392,"""FTX EOS ",2022-05-28 04:00:53.054651
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-28 04:00:53.054651
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-28 04:00:53.054651
112,"""DOGE"" ",0.00911192,"""dYdX DOGE ",2022-05-28 04:00:53.054651
114,"""DOGE"" ",-0.0224,"""FTX DOGE ",2022-05-28 04:00:53.054651
116,"""DOGE"" ",0.01,"""BitMEX DOGE ",2022-05-28 04:00:53.054651
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-28 04:00:53.054651
121,"""1INCH"" ",0.00374648,"""dYdX 1INCH ",2022-05-28 04:00:53.054651
123,"""1INCH"" ",-0.0248,"""FTX 1INCH ",2022-05-28 04:00:53.054651
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-28 04:00:53.054651
